id,sampleSet,xMetres,zMetres,eastingMetres,northingMetres,runtimeHeightMetres,threeDepInspectedHeightMetres,threeDepEligible,threeDepReason,elevationBuilderBoundary0QueryPointLand,elevationBuilderBoundary0AllFour3depNeighbourCentersLand,elevationBuilderBoundary0LandMask,rawRuntimeMinus3depMetres
canonical-24m-15-0,canonical-24m-2x2,2280,1536,553400.6136330839,4182898.5240993793,0,3.234343856680894,true,four-finite-non-nodata-pixelisarea-neighbours,true,true,land,-3.234343856680894
canonical-24m-16-0,canonical-24m-2x2,2304,1536,553424.6299586574,4182898.679930258,0,3.213724725445675,true,four-finite-non-nodata-pixelisarea-neighbours,true,true,land,-3.213724725445675
canonical-24m-17-0,canonical-24m-2x2,2328,1536,553448.6462845356,4182898.835831211,0,3.921453405172615,true,four-finite-non-nodata-pixelisarea-neighbours,true,true,land,-3.921453405172615
canonical-24m-18-0,canonical-24m-2x2,2352,1536,553472.6626107185,4182898.991802237,0,4.017620842926993,true,four-finite-non-nodata-pixelisarea-neighbours,true,true,land,-4.017620842926993
canonical-24m-19-0,canonical-24m-2x2,2376,1536,553496.6789372064,4182899.1478433376,0,4.268386221650374,true,four-finite-non-nodata-pixelisarea-neighbours,true,true,land,-4.268386221650374
canonical-24m-20-0,canonical-24m-2x2,2400,1536,553520.6952639992,4182899.3039545123,0,3.506693796034421,true,four-finite-non-nodata-pixelisarea-neighbours,true,true,land,-3.506693796034421
canonical-24m-21-0,canonical-24m-2x2,2424,1536,553544.7115910971,4182899.4601357607,-0.016381814133055013,3.333359064283073,true,four-finite-non-nodata-pixelisarea-neighbours,true,true,land,-3.349740878416128
canonical-24m-22-0,canonical-24m-2x2,2448,1536,553568.7279185002,4182899.616387084,-0.3855378393929053,3.1867667413632104,true,four-finite-non-nodata-pixelisarea-neighbours,true,true,land,-3.5723045807561156
canonical-24m-23-0,canonical-24m-2x2,2472,1536,553592.7442462066,4182899.7727084807,-1.1374472765974,3.36209088502765,true,four-finite-non-nodata-pixelisarea-neighbours,true,true,land,-4.4995381616250505
canonical-24m-24-0,canonical-24m-2x2,2496,1536,553616.7605742207,4182899.929099952,-1.7958281071382247,3.0732012607173314,true,four-finite-non-nodata-pixelisarea-neighbours,true,true,land,-4.869029367855556
canonical-24m-25-0,canonical-24m-2x2,2520,1536,553640.7769025406,4182900.085561497,-2.037736273440147,-1.351375492698164,true,four-finite-non-nodata-pixelisarea-neighbours,true,true,land,-0.6863607807419831
canonical-24m-26-0,canonical-24m-2x2,2544,1536,553664.7932311662,4182900.242093116,-1.7835499355977844,2.913321760244091,true,four-finite-non-nodata-pixelisarea-neighbours,true,true,land,-4.6968716958418755
canonical-24m-27-0,canonical-24m-2x2,2568,1536,553688.8095600978,4182900.3986948095,-1.4584011609575516,3.5382924142730343,true,four-finite-non-nodata-pixelisarea-neighbours,true,true,land,-4.996693575230585
canonical-24m-28-0,canonical-24m-2x2,2592,1536,553712.8258893355,4182900.555366577,-1.0039604237202582,3.1282941769450554,true,four-finite-non-nodata-pixelisarea-neighbours,true,true,land,-4.132254600665314
canonical-24m-29-0,canonical-24m-2x2,2616,1536,553736.8422188794,4182900.712108419,-0.5522405817709647,-1.0700000524520874,true,four-finite-non-nodata-pixelisarea-neighbours,false,false,water-or-outside,0.5177594706811227
canonical-24m-30-0,canonical-24m-2x2,2640,1536,553760.8585487297,4182900.8689203346,-0.2383756398017596,-1.0700000524520874,true,four-finite-non-nodata-pixelisarea-neighbours,false,false,water-or-outside,0.8316244126503278
canonical-24m-31-0,canonical-24m-2x2,2664,1536,553784.8748788865,4182901.0258023245,-0.05057504553147433,-1.0700000524520874,true,four-finite-non-nodata-pixelisarea-neighbours,false,false,water-or-outside,1.019425006920613
canonical-24m-32-0,canonical-24m-2x2,2688,1536,553808.89120935,4182901.1827543885,0,-1.0700000524520874,true,four-finite-non-nodata-pixelisarea-neighbours,false,false,water-or-outside,1.0700000524520874
canonical-24m-0-1,canonical-24m-2x2,1920,1560,553040.2136205803,4182920.276588316,-0.10041816312957096,3.896351726062182,true,four-finite-non-nodata-pixelisarea-neighbours,true,true,land,-3.996769889191753
canonical-24m-1-1,canonical-24m-2x2,1944,1560,553064.2298713371,4182920.4313683882,-0.08353765105745765,3.73367378873587,true,four-finite-non-nodata-pixelisarea-neighbours,true,true,land,-3.8172114397933274
canonical-24m-2-1,canonical-24m-2x2,1968,1560,553088.2461223964,4182920.586218535,-0.02288577781954884,3.7772833334928855,true,four-finite-non-nodata-pixelisarea-neighbours,true,true,land,-3.8001691113124343
canonical-24m-3-1,canonical-24m-2x2,1992,1560,553112.2623737585,4182920.7411387553,0,3.8111645310273548,true,four-finite-non-nodata-pixelisarea-neighbours,true,true,land,-3.8111645310273548
canonical-24m-4-1,canonical-24m-2x2,2016,1560,553136.2786254233,4182920.8961290503,0,3.7584556273518137,true,four-finite-non-nodata-pixelisarea-neighbours,true,true,land,-3.7584556273518137
canonical-24m-5-1,canonical-24m-2x2,2040,1560,553160.2948773911,4182921.051189419,0,3.8479207010927046,true,four-finite-non-nodata-pixelisarea-neighbours,true,true,land,-3.8479207010927046
canonical-24m-6-1,canonical-24m-2x2,2064,1560,553184.3111296619,4182921.2063198616,0,3.261222792226339,true,four-finite-non-nodata-pixelisarea-neighbours,true,true,land,-3.261222792226339
canonical-24m-7-1,canonical-24m-2x2,2088,1560,553208.3273822359,4182921.3615203784,0,1.834865816616828,true,four-finite-non-nodata-pixelisarea-neighbours,true,true,land,-1.834865816616828
canonical-24m-8-1,canonical-24m-2x2,2112,1560,553232.3436351111,4182921.516790969,0,3.33447647995522,true,four-finite-non-nodata-pixelisarea-neighbours,true,true,land,-3.33447647995522
canonical-24m-9-1,canonical-24m-2x2,2136,1560,553256.3598882919,4182921.672131634,0,3.1471111269080976,true,four-finite-non-nodata-pixelisarea-neighbours,true,true,land,-3.1471111269080976
canonical-24m-10-1,canonical-24m-2x2,2160,1560,553280.3761417764,4182921.827542373,0,3.3622796697387285,true,four-finite-non-nodata-pixelisarea-neighbours,true,true,land,-3.3622796697387285
canonical-24m-11-1,canonical-24m-2x2,2184,1560,553304.3923955647,4182921.9830231867,0,3.392254906110716,true,four-finite-non-nodata-pixelisarea-neighbours,true,true,land,-3.392254906110716
canonical-24m-12-1,canonical-24m-2x2,2208,1560,553328.408649659,4182922.1385740736,0,3.529639799732119,true,four-finite-non-nodata-pixelisarea-neighbours,true,true,land,-3.529639799732119
canonical-24m-13-1,canonical-24m-2x2,2232,1560,553352.424904053,4182922.294195035,0,3.465761219243895,true,four-finite-non-nodata-pixelisarea-neighbours,true,true,land,-3.465761219243895
canonical-24m-14-1,canonical-24m-2x2,2256,1560,553376.4411587534,4182922.4498860706,0,3.3685215286149686,true,four-finite-non-nodata-pixelisarea-neighbours,true,true,land,-3.3685215286149686
canonical-24m-15-1,canonical-24m-2x2,2280,1560,553400.457413758,4182922.60564718,0,3.1957355583805738,true,four-finite-non-nodata-pixelisarea-neighbours,true,true,land,-3.1957355583805738
canonical-24m-16-1,canonical-24m-2x2,2304,1560,553424.4736690671,4182922.761478364,0,3.613233350101513,true,four-finite-non-nodata-pixelisarea-neighbours,true,true,land,-3.613233350101513
canonical-24m-17-1,canonical-24m-2x2,2328,1560,553448.4899246808,4182922.917379622,0,4.332685616112023,true,four-finite-non-nodata-pixelisarea-neighbours,true,true,land,-4.332685616112023
canonical-24m-18-1,canonical-24m-2x2,2352,1560,553472.5061805992,4182923.073350954,0,4.3169900556949425,true,four-finite-non-nodata-pixelisarea-neighbours,true,true,land,-4.3169900556949425
canonical-24m-19-1,canonical-24m-2x2,2376,1560,553496.5224368224,4182923.2293923604,0,4.14972221083005,true,four-finite-non-nodata-pixelisarea-neighbours,true,true,land,-4.14972221083005
canonical-24m-20-1,canonical-24m-2x2,2400,1560,553520.5386933506,4182923.385503841,0,3.591035334925232,true,four-finite-non-nodata-pixelisarea-neighbours,true,true,land,-3.591035334925232
canonical-24m-21-1,canonical-24m-2x2,2424,1560,553544.554950184,4182923.541685396,-0.010805545911777932,3.2449425280218698,true,four-finite-non-nodata-pixelisarea-neighbours,true,true,land,-3.2557480739336477
canonical-24m-22-1,canonical-24m-2x2,2448,1560,553568.5712073226,4182923.6979370248,-0.2555159703185511,3.3448208298306485,true,four-finite-non-nodata-pixelisarea-neighbours,true,true,land,-3.6003368001491998
canonical-24m-23-1,canonical-24m-2x2,2472,1560,553592.5874647644,4182923.8542587277,-0.9144849078018664,3.122131977394335,true,four-finite-non-nodata-pixelisarea-neighbours,true,true,land,-4.036616885196201
canonical-24m-24-1,canonical-24m-2x2,2496,1560,553616.603722514,4182924.0106505053,-1.4953222442115817,3.218153490786457,true,four-finite-non-nodata-pixelisarea-neighbours,true,true,land,-4.713475734998038
canonical-24m-25-1,canonical-24m-2x2,2520,1560,553640.6199805692,4182924.1671123574,-1.8039533838704924,3.141150007628475,true,four-finite-non-nodata-pixelisarea-neighbours,true,true,land,-4.945103391498967
canonical-24m-26-1,canonical-24m-2x2,2544,1560,553664.6362389303,4182924.323644283,-1.474577374071904,3.1982921807013773,true,four-finite-non-nodata-pixelisarea-neighbours,true,true,land,-4.672869554773281
canonical-24m-27-1,canonical-24m-2x2,2568,1560,553688.6524975973,4182924.4802462836,-1.0039604237202866,3.095855406569694,true,four-finite-non-nodata-pixelisarea-neighbours,true,true,land,-4.09981583028998
canonical-24m-28-1,canonical-24m-2x2,2592,1560,553712.6687565703,4182924.636918358,-0.5479924575399203,-1.0700000524520874,true,four-finite-non-nodata-pixelisarea-neighbours,false,false,water-or-outside,0.5220075949121671
canonical-24m-29-1,canonical-24m-2x2,2616,1560,553736.6850158497,4182924.7936605066,-0.2363807709742316,-1.0700000524520874,true,four-finite-non-nodata-pixelisarea-neighbours,false,false,water-or-outside,0.8336192814778558
canonical-24m-30-1,canonical-24m-2x2,2640,1560,553760.7012754353,4182924.9504727297,-0.046843694452415485,-1.0700000524520874,true,four-finite-non-nodata-pixelisarea-neighbours,false,false,water-or-outside,1.0231563579996719
canonical-24m-31-1,canonical-24m-2x2,2664,1560,553784.7175353274,4182925.107355027,0,-1.0700000524520874,true,four-finite-non-nodata-pixelisarea-neighbours,false,false,water-or-outside,1.0700000524520874
canonical-24m-32-1,canonical-24m-2x2,2688,1560,553808.7337955262,4182925.264307399,0,-1.0700000524520874,true,four-finite-non-nodata-pixelisarea-neighbours,false,false,water-or-outside,1.0700000524520874
canonical-24m-0-2,canonical-24m-2x2,1920,1584,553040.0584544571,4182944.3581324327,0,3.831456746828427,true,four-finite-non-nodata-pixelisarea-neighbours,true,true,land,-3.831456746828427
canonical-24m-1-2,canonical-24m-2x2,1944,1584,553064.0746349492,4182944.512912808,0,3.7013255448507048,true,four-finite-non-nodata-pixelisarea-neighbours,true,true,land,-3.7013255448507048
canonical-24m-2-2,canonical-24m-2x2,1968,1584,553088.0908157438,4182944.6677632583,0,3.7478444371496495,true,four-finite-non-nodata-pixelisarea-neighbours,true,true,land,-3.7478444371496495
canonical-24m-3-2,canonical-24m-2x2,1992,1584,553112.1069968411,4182944.822683783,0,3.6822337215673944,true,four-finite-non-nodata-pixelisarea-neighbours,true,true,land,-3.6822337215673944
canonical-24m-4-2,canonical-24m-2x2,2016,1584,553136.1231782412,4182944.977674381,0,3.73544531219798,true,four-finite-non-nodata-pixelisarea-neighbours,true,true,land,-3.73544531219798
canonical-24m-5-2,canonical-24m-2x2,2040,1584,553160.1393599443,4182945.132735053,0,3.5424687467743996,true,four-finite-non-nodata-pixelisarea-neighbours,true,true,land,-3.5424687467743996
canonical-24m-6-2,canonical-24m-2x2,2064,1584,553184.1555419504,4182945.2878658003,0,3.7786001779225424,true,four-finite-non-nodata-pixelisarea-neighbours,true,true,land,-3.7786001779225424
canonical-24m-7-2,canonical-24m-2x2,2088,1584,553208.1717242596,4182945.4430666207,0,3.349225263574805,true,four-finite-non-nodata-pixelisarea-neighbours,true,true,land,-3.349225263574805
canonical-24m-8-2,canonical-24m-2x2,2112,1584,553232.1879068699,4182945.598337516,0,3.239925329626563,true,four-finite-non-nodata-pixelisarea-neighbours,true,true,land,-3.239925329626563
canonical-24m-9-2,canonical-24m-2x2,2136,1584,553256.204089786,4182945.753678485,0,3.3296852933057206,true,four-finite-non-nodata-pixelisarea-neighbours,true,true,land,-3.3296852933057206
canonical-24m-10-2,canonical-24m-2x2,2160,1584,553280.2202730058,4182945.909089529,0,3.677397242771324,true,four-finite-non-nodata-pixelisarea-neighbours,true,true,land,-3.677397242771324
canonical-24m-11-2,canonical-24m-2x2,2184,1584,553304.2364565292,4182946.0645706463,0,3.5023585699806397,true,four-finite-non-nodata-pixelisarea-neighbours,true,true,land,-3.5023585699806397
canonical-24m-12-2,canonical-24m-2x2,2208,1584,553328.2526403588,4182946.2201218386,0,3.313917925048062,true,four-finite-non-nodata-pixelisarea-neighbours,true,true,land,-3.313917925048062
canonical-24m-13-2,canonical-24m-2x2,2232,1584,553352.2688244879,4182946.3757431046,0,3.2688878627875044,true,four-finite-non-nodata-pixelisarea-neighbours,true,true,land,-3.2688878627875044
canonical-24m-14-2,canonical-24m-2x2,2256,1584,553376.2850089235,4182946.5314344456,0,3.213196012812324,true,four-finite-non-nodata-pixelisarea-neighbours,true,true,land,-3.213196012812324
canonical-24m-15-2,canonical-24m-2x2,2280,1584,553400.3011936633,4182946.6871958603,0,3.601764286191959,true,four-finite-non-nodata-pixelisarea-neighbours,true,true,land,-3.601764286191959
canonical-24m-16-2,canonical-24m-2x2,2304,1584,553424.3173787075,4182946.8430273496,0,4.026279227478553,true,four-finite-non-nodata-pixelisarea-neighbours,true,true,land,-4.026279227478553
canonical-24m-17-2,canonical-24m-2x2,2328,1584,553448.3335640563,4182946.998928913,0,4.338379038279701,true,four-finite-non-nodata-pixelisarea-neighbours,true,true,land,-4.338379038279701
canonical-24m-18-2,canonical-24m-2x2,2352,1584,553472.3497497098,4182947.154900551,0,4.348216995948937,true,four-finite-non-nodata-pixelisarea-neighbours,true,true,land,-4.348216995948937
canonical-24m-19-2,canonical-24m-2x2,2376,1584,553496.3659356682,4182947.310942263,0,3.7566011263103487,true,four-finite-non-nodata-pixelisarea-neighbours,true,true,land,-3.7566011263103487
canonical-24m-20-2,canonical-24m-2x2,2400,1584,553520.3821219315,4182947.4670540495,0,3.2093657657793013,true,four-finite-non-nodata-pixelisarea-neighbours,true,true,land,-3.2093657657793013
canonical-24m-21-2,canonical-24m-2x2,2424,1584,553544.3983085001,4182947.62323591,-0.0005548228308366218,3.3568622115598346,true,four-finite-non-nodata-pixelisarea-neighbours,true,true,land,-3.357417034390671
canonical-24m-22-2,canonical-24m-2x2,2448,1584,553568.4144953737,4182947.7794878455,-0.017079501332636356,3.303773566830243,true,four-finite-non-nodata-pixelisarea-neighbours,true,true,land,-3.320853068162879
canonical-24m-23-2,canonical-24m-2x2,2472,1584,553592.4306825507,4182947.935809855,-0.583107939094767,2.8347694718096506,true,four-finite-non-nodata-pixelisarea-neighbours,true,true,land,-3.4178774109044174
canonical-24m-24-2,canonical-24m-2x2,2496,1584,553616.4468700353,4182948.0922019384,-1.1250658506070905,3.1899793823512104,true,four-finite-non-nodata-pixelisarea-neighbours,true,true,land,-4.315045232958301
canonical-24m-25-2,canonical-24m-2x2,2520,1584,553640.4630578256,4182948.248664097,-1.4080532881568657,2.8875322415639504,true,four-finite-non-nodata-pixelisarea-neighbours,true,true,land,-4.295585529720816
canonical-24m-26-2,canonical-24m-2x2,2544,1584,553664.4792459217,4182948.4051963296,-1.0039604237202582,3.0110786864254693,true,four-finite-non-nodata-pixelisarea-neighbours,true,true,land,-4.015039110145727
canonical-24m-27-2,canonical-24m-2x2,2568,1584,553688.4954343237,4182948.5617986363,-0.5432275601569075,-1.0700000524520874,true,four-finite-non-nodata-pixelisarea-neighbours,false,false,water-or-outside,0.5267724922951799
canonical-24m-28-2,canonical-24m-2x2,2592,1584,553712.5116230318,4182948.718471018,-0.23412751557070272,-1.0700000524520874,true,four-finite-non-nodata-pixelisarea-neighbours,false,false,water-or-outside,0.8358725368813846
canonical-24m-29-2,canonical-24m-2x2,2616,1584,553736.5278120462,4182948.875213474,-0.042595570221368326,-1.0700000524520874,true,four-finite-non-nodata-pixelisarea-neighbours,false,false,water-or-outside,1.0274044822307191
canonical-24m-30-2,canonical-24m-2x2,2640,1584,553760.5440013668,4182949.032026004,0,-1.0700000524520874,true,four-finite-non-nodata-pixelisarea-neighbours,false,false,water-or-outside,1.0700000524520874
canonical-24m-31-2,canonical-24m-2x2,2664,1584,553784.5601909941,4182949.188908609,0,-1.0700000524520874,true,four-finite-non-nodata-pixelisarea-neighbours,false,false,water-or-outside,1.0700000524520874
canonical-24m-32-2,canonical-24m-2x2,2688,1584,553808.5763809278,4182949.3458612883,0,-1.0700000524520874,true,four-finite-non-nodata-pixelisarea-neighbours,false,false,water-or-outside,1.0700000524520874
canonical-24m-0-3,canonical-24m-2x2,1920,1608,553039.9032875701,4182968.439677429,0,3.520590464319998,true,four-finite-non-nodata-pixelisarea-neighbours,true,true,land,-3.520590464319998
canonical-24m-1-3,canonical-24m-2x2,1944,1608,553063.9193977972,4182968.594458108,0,3.7283267592181053,true,four-finite-non-nodata-pixelisarea-neighbours,true,true,land,-3.7283267592181053
canonical-24m-2-3,canonical-24m-2x2,1968,1608,553087.9355083269,4182968.749308861,0,3.682660231281588,true,four-finite-non-nodata-pixelisarea-neighbours,true,true,land,-3.682660231281588
canonical-24m-3-3,canonical-24m-2x2,1992,1608,553111.9516191591,4182968.904229689,0,3.625092546062739,true,four-finite-non-nodata-pixelisarea-neighbours,true,true,land,-3.625092546062739
canonical-24m-4-3,canonical-24m-2x2,2016,1608,553135.9677302941,4182969.0592205906,0,3.6552035984746074,true,four-finite-non-nodata-pixelisarea-neighbours,true,true,land,-3.6552035984746074
canonical-24m-5-3,canonical-24m-2x2,2040,1608,553159.983841732,4182969.214281567,0,3.636221580021658,true,four-finite-non-nodata-pixelisarea-neighbours,true,true,land,-3.636221580021658
canonical-24m-6-3,canonical-24m-2x2,2064,1608,553183.999953473,4182969.3694126178,0,3.3450513720810906,true,four-finite-non-nodata-pixelisarea-neighbours,true,true,land,-3.3450513720810906
canonical-24m-7-3,canonical-24m-2x2,2088,1608,553208.0160655172,4182969.5246137427,0,3.332883060840344,true,four-finite-non-nodata-pixelisarea-neighbours,true,true,land,-3.332883060840344
canonical-24m-8-3,canonical-24m-2x2,2112,1608,553232.0321778625,4182969.679884942,0,3.310470379112756,true,four-finite-non-nodata-pixelisarea-neighbours,true,true,land,-3.310470379112756
canonical-24m-9-3,canonical-24m-2x2,2136,1608,553256.0482905135,4182969.8352262154,0,3.14987756916355,true,four-finite-non-nodata-pixelisarea-neighbours,true,true,land,-3.14987756916355
